name,games,roi,avg.stake,reg,be
Th__eD___r____y,748,11.5,29.25,1,0
reTIRED49,856,20.5,17.14,1,0
antonfs1986,2572,19.0,11.08,1,0
GoodVibes88,802,14.4,11.76,1,0
250spins,3920,18.3,9.19,1,0
GetThere,1172,9.6,18.05,1,0
EmbracetheRage,6465,10.4,15.19,1,0
brednbutter,1183,15.6,18.0,1,0
Crzzy2000,1093,8.8,23.3,1,0
tams,522,14.6,37.11,1,0
Nastona2016,1593,12.4,8.4,1,0
Shakenpop,5528,10.5,3.87,1,0
myravey23,3391,15.7,5.18,1,0
6aklajan,4552,10.1,3.91,1,0
Ardi77,884,19.8,14.07,1,0
batka,4006,10.2,3.86,1,0
johnwallin,3881,12.5,5.29,1,0
unclepete55,1460,18.2,10.83,1,0
vico2008II,1104,12.3,15.75,1,0
